*     Rice grown in potential water production situation
*     Rice grown in potential N production situation
*     ORYZA model runs to simulate an experiment
*     Rice crop is transplanted
*     SETPMD: Penman evapotranspiration
*============================================================================
*
* FSE driver info:
*     Year: 1991, day:   4, System start
*     Year: 1991, day:  99, System end
*----------------------------------------------------------------------------
* Output table number  :  0 (=first output table)
* Output table format  : Spreadsheet output
* Simulation results
 
TIME	DVS	RDD	TMIN	TMAX	DTR	RAPCDT	PARCUM	NFLV	SLA	SLASIM	LESTRS	LRSTRS	PCEW	NSP	LAI	WAGT	WST	WLVG	WLVD	WLV	WSO	WRR14	ZRT	YEAR	DOY	CROPSTA	ETD	TRC	EVSC	RAIN	RAINCU
 
   4.00000    	     0.00000	 2.14640E+07	  23.500    	  32.000    	 2.14640E+07	 3.98307E+05	     0.00000	 0.50000    	 6.00000E-03	 0.10000    	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.10000    	 2.00000E-02	     0.00000	     0.00000	     0.00000	 1.00000E-02	     0.00000	     0.00000	 1.00000E-04	  1991.0    	  4.0000    	  1.0000    	  5.7767    	     0.00000	  5.7767    	     0.00000	     0.00000
   5.00000    	 1.22680E-02	 1.46030E+07	  24.500    	  31.000    	 1.46030E+07	 3.10115E+05	 0.39831    	 0.50000    	 6.00000E-03	 5.27577E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.11578    	  4.3890    	  2.1945    	  2.1945    	     0.00000	  2.1945    	     0.00000	     0.00000	     0.00000	  1991.0    	  5.0000    	  2.0000    	  4.3830    	 0.29334    	  4.1365    	  2.0000    	     0.00000
   6.00000    	 2.50103E-02	 9.58200E+06	  23.000    	  31.000    	 9.58200E+06	 2.37420E+05	 0.70842    	 0.50000    	 6.00000E-03	 2.95432E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.13475    	  9.1220    	  4.5610    	  4.5610    	     0.00000	  4.5610    	     0.00000	     0.00000	     0.00000	  1991.0    	  6.0000    	  2.0000    	  3.4185    	 0.27316    	  3.1957    	  7.0000    	  2.0000    
   7.00000    	 3.72840E-02	 2.02510E+07	  22.500    	  31.500    	 2.02510E+07	 5.79920E+05	 0.94584    	 0.50000    	 6.00000E-03	 2.29521E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.15601    	  13.595    	  6.7974    	  6.7974    	     0.00000	  6.7974    	     0.00000	     0.00000	     0.00000	  1991.0    	  7.0000    	  2.0000    	  5.3520    	 0.48868    	  4.9504    	  1.0000    	  9.0000    
   8.00000    	 4.93474E-02	 4.22600E+06	  22.000    	  28.500    	 4.22600E+06	 1.39916E+05	  1.5258    	 0.50000    	 6.00000E-03	 1.75034E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.18022    	  20.592    	  10.296    	  10.296    	     0.00000	  10.296    	     0.00000	     0.00000	     0.00000	  1991.0    	  8.0000    	  2.0000    	  1.6899    	 0.23239    	  1.5443    	  64.000    	  10.000    
   9.00000    	 6.07496E-02	 2.02510E+07	  22.500    	  33.000    	 2.02510E+07	 7.59454E+05	  1.6657    	 0.50000    	 6.00000E-03	 1.71874E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.20664    	  24.045    	  12.023    	  12.023    	     0.00000	  12.023    	     0.00000	     0.00000	     0.00000	  1991.0    	  9.0000    	  2.0000    	  5.5796    	 0.67818    	  5.0319    	  11.000    	  74.000    
   10.0000    	 7.24848E-02	 1.79080E+07	  24.500    	  32.500    	 1.79080E+07	 7.67004E+05	  2.4251    	 0.50000    	 6.00000E-03	 1.42598E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.23782    	  33.356    	  16.678    	  16.678    	     0.00000	  16.678    	     0.00000	     0.00000	     0.00000	  1991.0    	  10.000    	  2.0000    	  5.3039    	 0.74000    	  4.7092    	  4.0000    	  85.000    
   11.0000    	 8.48794E-02	 1.31380E+07	  23.000    	  32.500    	 1.31380E+07	 6.46283E+05	  3.1921    	 0.50000    	 6.00000E-03	 1.25594E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.27573    	  43.908    	  21.954    	  21.954    	     0.00000	  21.954    	     0.00000	     0.00000	     0.00000	  1991.0    	  11.000    	  2.0000    	  4.3966    	 0.73914    	  3.8304    	     0.00000	  89.000    
   12.0000    	 9.68908E-02	 8.36800E+06	  24.000    	  30.500    	 8.36800E+06	 4.77357E+05	  3.8384    	 0.50000    	 6.00000E-03	 1.15980E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.31832    	  54.892    	  27.446    	  27.446    	     0.00000	  27.446    	     0.00000	     0.00000	     0.00000	  1991.0    	  12.000    	  2.0000    	  3.3455    	 0.68260    	  2.8533    	     0.00000	  89.000    
