*     Rice grown in potential water production situation
*     Rice grown in potential N production situation
*     ORYZA model runs to simulate an experiment
*     Rice crop is direct-seeded
*     SETPMD: Penman evapotranspiration
*============================================================================
*
* FSE driver info:
*     Year: 1991, day:  54, System start
*     Year: 1991, day: 143, System end
*----------------------------------------------------------------------------
* Output table number  :  0 (=first output table)
* Output table format  : Spreadsheet output
* Simulation results
 
TIME	DVS	RDD	TMIN	TMAX	DTR	RAPCDT	PARCUM	NFLV	SLA	SLASIM	LESTRS	LRSTRS	PCEW	NSP	LAI	WAGT	WST	WLVG	WLVD	WLV	WSO	WRR14	ZRT	YEAR	DOY	CROPSTA	ETD	TRC	EVSC	RAIN	RAINCU
 
   54.0000    	     0.00000	 9.58200E+06	  21.500    	  29.000    	 9.58200E+06	  23737.    	     0.00000	 0.50000    	 6.00000E-03	 1.32000E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 1.32000E-02	 2.00000E-02	     0.00000	     0.00000	     0.00000	 1.00000E-02	     0.00000	     0.00000	 1.00000E-04	  1991.0    	  54.000    	  1.0000    	  3.4714    	     0.00000	  3.4714    	  18.000    	     0.00000
   55.0000    	 1.14022E-02	 1.13390E+07	  24.000    	  30.000    	 1.13390E+07	  32007.    	 2.37371E-02	 0.50000    	 6.00000E-03	 6.71639E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 1.51354E-02	 0.45070    	 0.22535    	 0.22535    	     0.00000	 0.22535    	     0.00000	     0.00000	     0.00000	  1991.0    	  55.000    	  4.0000    	  4.4800    	 4.29626E-02	  4.4462    	  6.0000    	  18.000    
   56.0000    	 2.39612E-02	 8.99600E+06	  23.500    	  30.500    	 8.99600E+06	  29839.    	 5.57443E-02	 0.88333    	 6.00000E-03	 3.47274E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 1.75798E-02	  1.0124    	 0.50622    	 0.50622    	     0.00000	 0.50622    	     0.00000	     0.00000	     0.00000	  1991.0    	  56.000    	  4.0000    	  4.0116    	 4.81973E-02	  3.9765    	  7.0000    	  24.000    
   57.0000    	 3.64169E-02	 1.13390E+07	  23.500    	  31.500    	 1.13390E+07	  43255.    	 8.55829E-02	 0.88333    	 6.00000E-03	 2.44361E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 2.03956E-02	  1.6693    	 0.83465    	 0.83465    	     0.00000	 0.83465    	     0.00000	     0.00000	     0.00000	  1991.0    	  57.000    	  4.0000    	  4.7017    	 6.26070E-02	  4.6540    	  8.0000    	  31.000    
   58.0000    	 4.87748E-02	 1.13390E+07	  24.000    	  31.500    	 1.13390E+07	  50195.    	 0.12884    	 0.88333    	 6.00000E-03	 1.85003E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 2.36368E-02	  2.5553    	  1.2776    	  1.2776    	     0.00000	  1.2776    	     0.00000	     0.00000	     0.00000	  1991.0    	  58.000    	  4.0000    	  4.5870    	 6.94537E-02	  4.5331    	     0.00000	  39.000    
   59.0000    	 6.12800E-02	 1.37240E+07	  22.500    	  31.500    	 1.37240E+07	  69590.    	 0.17903    	 0.88333    	 6.00000E-03	 1.52920E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 2.74377E-02	  3.5885    	  1.7943    	  1.7943    	     0.00000	  1.7943    	     0.00000	     0.00000	     0.00000	  1991.0    	  59.000    	  4.0000    	  5.1469    	 9.16960E-02	  5.0768    	  1.0000    	  39.000    
   60.0000    	 7.33433E-02	 1.44190E+07	  22.500    	  30.000    	 1.44190E+07	  84255.    	 0.24862    	 0.88333    	 6.00000E-03	 1.28062E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 3.16940E-02	  4.9498    	  2.4749    	  2.4749    	     0.00000	  2.4749    	     0.00000	     0.00000	     0.00000	  1991.0    	  60.000    	  4.0000    	  5.1070    	 0.10296    	  5.0267    	  45.000    	  40.000    
   61.0000    	 8.54066E-02	 1.32920E+07	  24.000    	  30.000    	 1.32920E+07	  90279.    	 0.33288    	 0.88333    	 6.00000E-03	 1.10969E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 3.66106E-02	  6.5983    	  3.2992    	  3.2992    	     0.00000	  3.2992    	     0.00000	     0.00000	     0.00000	  1991.0    	  61.000    	  4.0000    	  4.7974    	 0.10840    	  4.7104    	  3.0000    	  85.000    
   62.0000    	 9.79656E-02	 1.41270E+07	  23.000    	  29.500    	 1.41270E+07	 1.10962E+05	 0.42316    	 0.88333    	 6.00000E-03	 1.00958E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 4.25232E-02	  8.4239    	  4.2120    	  4.2120    	     0.00000	  4.2120    	     0.00000	     0.00000	     0.00000	  1991.0    	  62.000    	  4.0000    	  5.0047    	 0.13300    	  4.8994    	  3.0000    	  88.000    
